Food,Allergy,Summary,url
ice cream,eggs,"Gelato (Italian pronunciation: [dʒeˈlaːto]) is a popular frozen dessert of Italian origin. It is generally made with a base of 3.25% milk and sugar. It is generally lower in fat than other styles of frozen desserts. Gelato typically contains 70% less air and more flavoring than other kinds of frozen desserts, giving it a density and richness that distinguishes it from other ice creams.Gelato as we know it is credited to the Italian chef Francesco Procopio dei Coltelli who in the late 1600s opened his “Café Procope” in Paris and introduced gelato at his café, earning notability first in Paris and then in the rest of Europe. Thanks to his gelato, Procopio not only obtained French citizenship, but also got an exclusive royal licence issued by the Sun King Louis XIV, making him at the time the sole producer of the frozen dessert in the kingdom.Nowadays, gelato is known worldwide and Italy is the only country where the market share of artisanal gelato versus mass-produced gelato is over 55%, with more than 5,000 modern Italian ice cream parlors employing over 15,000 people.",https://en.wikipedia.org/wiki/Gelato
icing on cakes,eggs,,
malted drinks,eggs,"A malt drink is a fermented drink in which the primary ingredient is the grain, or seed, of the barley plant, which has been allowed to sprout slightly in a traditional way called ""malting"" before it is processed.
By far the most predominant malt drink is beer (naturally fermented barley sugars flavoured with hops), of which there are two main styles: ale and lager. A low alcohol level drink brewed in this fashion is technically identical to ""non-alcoholic beer.""  Such a drink may be prepared by using a slightly altered brewing process that yields negligible alcohol (technically less than 0.5% by volume). These are called Low-alcohol beers or ""near beers"".
In the United States, the term ""malt beverage"" may be used by trade associations of groups of beer wholesalers (e.g. Tennessee Malt Beverages Association) for the sake of a professional image by using brewing craft related terms, for political or legal reasons, or to avoid potential negative connotations that may be associated with beer in a region.  Additionally, the term malt beverage is applied to many other flavoured drinks prepared from malted grains to which natural or artificial flavours (and sometimes colours) have been added to make them taste and appear similar to wines, fruits, colas, natural ciders, or other drinks. This subcategory has been called ""malternative,"" as in Smirnoff Ice (US & French version), or ""maltini,"" as in 3SUM, which also has energy components like caffeine. Marketing of such products in the United States has increased rapidly in recent years. In most jurisdictions, these products are regulated in a way identical to beer, which allows a retailer with a beer license to sell a seemingly wider product line. This also generally avoids the steeper taxes and stricter regulations associated with distilled spirits.",https://en.wikipedia.org/wiki/Malt_drink
marzipan,eggs,"Marzipan is a confection consisting primarily of sugar or honey and almond meal (ground almonds), sometimes augmented with almond oil or extract.
It is often made into sweets; common uses are chocolate-covered marzipan and small marzipan imitations of fruits and vegetables. It can also be used in biscuits or rolled into thin sheets and glazed for icing cakes, primarily birthday cakes, wedding cakes and Christmas cakes. This use is particularly common in the UK, on large fruitcakes. Marzipan paste may also be used as a baking ingredient, as in stollen or banket. In some countries, it is shaped into small figures of animals as a traditional treat for New Year's Day or Christmas. Marzipan is also used in Tortell, and in some versions of king cake eaten during the Carnival season. Traditional Swedish princess cake is typically covered with a layer of marzipan that has been tinted pale green or pink.",https://en.wikipedia.org/wiki/Marzipan
marshmallow,eggs,"Marshmallows (UK: , US: ) are a type of confectionery which is typically made from sugar, water and gelatin whipped to a squishy consistency, molded into small cylindrical pieces, and coated with corn starch. Some marshmallow recipes call for eggs. This is the modern version of a medicinal confection made from Althaea officinalis, the marshmallow plant.",https://en.wikipedia.org/wiki/Marshmallow
mayonnaise and salad dressings,eggs,"Thousand Island dressing is an American salad dressing and condiment based on mayonnaise and can include olive oil, lemon juice, orange juice, paprika, Worcestershire sauce, mustard, vinegar, cream, chili sauce, tomato purée, ketchup or Tabasco sauce. It is similar to Russian dressing, making it an alternative spread for a Reuben sandwich.It also typically contains finely chopped ingredients, which can include pickles, onions, bell peppers, green olives, hard-boiled egg, parsley, pimento, chives, garlic, or chopped nuts (such as walnuts or chestnuts).",https://en.wikipedia.org/wiki/Thousand_Island_dressing
meat loaf,eggs,,
mock,eggs,"Buttercream is a type of icing or filling used either inside cakes, as a coating, or as decoration.",https://en.wikipedia.org/wiki/Buttercream
mousse,eggs,"A mousse (French 'foam' ) is a soft prepared food that incorporates air bubbles to give it a light and airy texture. It can range from light and fluffy to creamy and thick, depending on preparation techniques. A mousse may be sweet or savory.Sweet mousses are typically made with whipped egg whites, whipped cream, or both, and flavored with one or more of chocolate, coffee, caramel, puréed fruits, or various herbs and spices, such as mint or vanilla. In the case of some chocolate mousses, egg yolks are often stirred into melted chocolate to give the final product a richer mouthfeel. Mousses are also typically chilled before being served, which gives them a denser texture. Sweetened mousse is served as a dessert, or used as an airy cake filling. It is sometimes stabilized with gelatin.Savory mousses can be made from meat, fish, shellfish, foie gras, cheese, or vegetables. Hot mousses often get their light texture from the addition of beaten egg whites.",https://en.wikipedia.org/wiki/Mousse
pancakes,eggs,,
pasta,eggs,"Pasta (US: , UK: ; Italian pronunciation: [ˈpasta]) is a type of food typically made from an unleavened dough of durum wheat flour (semolina) mixed with water or eggs, and formed into sheets or various shapes, then cooked by boiling or baking. Rice flour, or legumes such as beans or lentils, are sometimes used in place of wheat flour to yield a different taste and texture, or as a gluten-free alternative. Pasta is a staple food of Italian cuisine.Pastas are divided into two broad categories: dried (pasta secca) and fresh (pasta fresca). Most dried pasta is produced commercially via an extrusion process, although it can be produced at home. Fresh pasta is traditionally produced by hand, sometimes with the aid of simple machines. Fresh pastas available in grocery stores are produced commercially by large-scale machines.
Both dried and fresh pastas come in a number of shapes and varieties, with 310 specific forms known by over 1300 documented names. In Italy, the names of specific pasta shapes or types often vary by locale. For example, the pasta form cavatelli is known by 28 different names depending upon the town and region. Common forms of pasta include long and short shapes, tubes, flat shapes or sheets, miniature shapes for soup, those meant to be filled or stuffed, and specialty or decorative shapes.As a category in Italian cuisine, both fresh and dried pastas are classically used in one of three kinds of prepared dishes: as pasta asciutta (or pastasciutta), cooked pasta is plated and served with a complementary side sauce or condiment; a second classification of pasta dishes is pasta in brodo, in which the pasta is part of a soup-type dish. A third category is pasta al forno, in which the pasta is incorporated into a dish that is subsequently baked in the oven. Pasta dishes are generally simple, but individual dishes vary in preparation. Some pasta dishes are served as a small first course or for light lunches, such as pasta salads. Other dishes may be portioned larger and used for dinner. Pasta sauces similarly may vary in taste, color and texture.In terms of nutrition, cooked plain pasta is 31% carbohydrates (mostly starch), 6% protein, and low in fat, with moderate amounts of manganese, but pasta generally has low micronutrient content. Pasta may be enriched or fortified, or made from whole grains.",https://en.wikipedia.org/wiki/Pasta
puddings,eggs,"Pudding is a type of food that can be either a dessert or a savoury (salty or spicy) dish that is part of the main meal.The modern usage of the word pudding to denote primarily desserts has evolved over time from the originally almost exclusive use of the term to describe savory dishes, specifically those created using a process similar to that used for sausages, in which meat and other ingredients in mostly liquid form are encased and then steamed or boiled to set the contents. Black pudding, Yorkshire pudding, and haggis survive from this tradition.
In the United Kingdom and some of the Commonwealth countries, the word pudding can be used to describe both sweet and savory dishes. Unless qualified, however, the term in everyday usage typically denotes a dessert; in the United Kingdom, pudding is used as a synonym for a dessert course. Dessert puddings are rich, fairly homogeneous starch- or dairy-based desserts such as rice pudding, steamed cake mixtures such as treacle sponge pudding with or without the addition of ingredients such as dried fruits as in a Christmas pudding. Savory dishes include  Yorkshire pudding, black pudding, suet pudding and steak and kidney pudding.
In the United States and some parts of Canada, pudding characteristically denotes a sweet milk-based dessert similar in consistency to egg-based custards, instant custards or a mousse, often commercially set using cornstarch, gelatin or similar collagen agent such as the Jell‑O brand line of products.
In Commonwealth countries these puddings are known as custards (or curds) if they are egg-thickened, as blancmange if starch-thickened, and as jelly if gelatin-based. Pudding may also refer to other dishes such as bread pudding and rice pudding, although typically these names derive from their origin as British dishes.",https://en.wikipedia.org/wiki/Pudding
sauces,eggs,,
simplesse,eggs,"Simplesse is a multi-functional dairy ingredient made from whey protein concentrate used as a fat substitute in low-calorie foods. Originally brought to market in 1988, the manufacturer, CP Kelco (a former NutraSweet subsidiary), sells Simplesse to food processors as a ""microparticulated whey protein concentrate"" in dry powder form, and recommends that it be labelled as dairy protein on food labels. Older versions of the product also contain egg whites.
The protein is partially coagulated by heat, creating a micro dispersion, in a process known as microparticulation.  It is due to the small particle size of the protein that the dispersion is percievable as a fluid with similar creaminess and richness of fat.",https://en.wikipedia.org/wiki/Simplesse
soups,eggs,,
wines clarified with egg white,eggs,,
antipasto,fish,"Antipasto (plural antipasti) is the traditional first course of a formal Italian meal. Typical ingredients of a traditional antipasto include cured meats, olives, peperoncini, mushrooms, anchovies, artichoke hearts, various cheeses (such as provolone or mozzarella), pickled meats, and vegetables in oil or vinegar.
The contents of an antipasto vary greatly according to regional cuisine. It is quite possible to find different preparations of saltwater fish and traditional southern cured meats (like soppressata or 'nduja) in the south of Italy, whereas in northern Italy it will contain different kinds of cured meats and mushrooms and, especially near lakes, preparations of freshwater fish. The cheeses included also vary significantly between regions and backgrounds, and include hard and soft cheeses.
Many compare antipasto to hors d'oeuvre, but antipasto is served at the table and signifies the official beginning of the Italian meal. It may also be referred to as a starter, or an appetizer.",https://en.wikipedia.org/wiki/Antipasto
asian dishes,fish,,
bouillabaisse,fish,"Bouillabaisse (French pronunciation: ​[bu.ja.bɛːs]; Occitan: bolhabaissa [ˌbuʎaˈβajsɔ / ˌbujaˈbajsɔ]) is a traditional Provençal fish stew originating from the port city of Marseille. The French and English form bouillabaisse comes from the Provençal Occitan word bolhabaissa, a compound that consists of the two verbs bolhir (to boil) and abaissar (to reduce heat, i.e., simmer).
Bouillabaisse was originally a stew made by Marseille fishermen using the bony rockfish which they were unable to sell to restaurants or markets. There are at least three kinds of fish in a traditional bouillabaisse: typically red rascasse (Scorpaena scrofa); sea robin; and European conger. It can also include gilt-head bream, turbot, monkfish, mullet, or European hake.  It usually also includes shellfish and other seafood such as sea urchins, mussels, velvet crabs, spider crab or octopus. More expensive versions may add langoustine (Norway lobster), though this was not part of the traditional dish made by Marseille fishermen.  Vegetables such as leeks, onions, tomatoes, celery, and potatoes are simmered together with the broth and served with the fish. The broth is traditionally served with a rouille, a mayonnaise made of olive oil, garlic, saffron, and cayenne pepper on grilled slices of bread.
What makes a bouillabaisse different from other fish soups is the selection of Provençal herbs and spices in the broth; the use of bony local Mediterranean fish; the way the fish are added one at a time, and brought to a boil; and the method of serving. In Marseille, the broth is served first in a soup plate with slices of bread and rouille, then the fish is served separately on a large platter  (see image at right);  or, more simply,  as Julia Child suggests, the fish and broth are brought to the table separately and served together in large soup plates.",https://en.wikipedia.org/wiki/Bouillabaisse
caesar salad,fish,"A Caesar salad (also spelled Cesar and Cesare) is a green salad of romaine lettuce and croutons dressed with lemon juice (or lime juice), olive oil, egg, Worcestershire sauce, anchovies, garlic, Dijon mustard, Parmesan cheese, and black pepper.
In its original form, this salad was prepared and served tableside.",https://en.wikipedia.org/wiki/Caesar_salad
canned spreads,fish,"Fish paste is fish which has been chemically broken down by a fermentation process until it reaches the consistency of a soft creamy purée or paste. Alternatively it refers to cooked fish which has been physically broken down by pounding, grinding, pressing, mincing, blending, and/or sieving, until it reaches the consistency of paste. The term can be applied also to shellfish pastes, such as shrimp paste or crab paste.
Fish paste is used as a condiment or seasoning to add flavour to food, or in some cases to complement a dish. Generally, fish paste is reduced to a thick, rich concentrate, which has usually been cooked for a long time. It can be contrasted with fish sauce, which is like a fish paste except it is not cooked for so long, is a thick liquid rather than a concentrated paste, and may include seasonings and other flavorings.",https://en.wikipedia.org/wiki/Fish_paste
dips,fish,,
fish paste,fish,"Fish paste is fish which has been chemically broken down by a fermentation process until it reaches the consistency of a soft creamy purée or paste. Alternatively it refers to cooked fish which has been physically broken down by pounding, grinding, pressing, mincing, blending, and/or sieving, until it reaches the consistency of paste. The term can be applied also to shellfish pastes, such as shrimp paste or crab paste.
Fish paste is used as a condiment or seasoning to add flavour to food, or in some cases to complement a dish. Generally, fish paste is reduced to a thick, rich concentrate, which has usually been cooked for a long time. It can be contrasted with fish sauce, which is like a fish paste except it is not cooked for so long, is a thick liquid rather than a concentrated paste, and may include seasonings and other flavorings.",https://en.wikipedia.org/wiki/Fish_paste
food products fortified with omega fatty acids,fish,"Omega−3 fatty acids, also called ω−3 fatty acids or n−3 fatty acids, are polyunsaturated fatty acids (PUFAs) characterized by the presence of a double bond three atoms away from the terminal methyl group in their chemical structure.  They are widely distributed in nature, being important constituents of animal lipid metabolism, and they play an important role in the human diet and in human physiology.  The three types of omega−3 fatty acids involved in human physiology are α-linolenic acid (ALA), found in plant oils, and eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA), both commonly found in marine oils. Marine algae and phytoplankton are primary sources of omega−3 fatty acids. Common sources of plant oils containing ALA include walnut, edible seeds, clary sage seed oil, algal oil, flaxseed oil, Sacha Inchi oil, Echium oil, and hemp oil, while sources of animal omega−3 fatty acids EPA and DHA include fish, fish oils, eggs from chickens fed EPA and DHA, squid oils, krill oil, and certain algae.
Mammals are unable to synthesize the essential omega−3 fatty acid ALA and can only obtain it through diet, which they can then use to form the long-chain omega−3 fatty acids, EPA (20 carbons and 5 double bonds) and then from EPA make DHA (22 carbons and 6 double bonds). The ability to make the longer-chain omega−3 fatty acids from ALA may be impaired in aging. In foods exposed to air, unsaturated fatty acids are vulnerable to oxidation and rancidity. Dietary supplementation with omega−3 fatty acids does not appear to affect the risk of death, cancer or heart disease. Furthermore, fish oil supplement studies have failed to support claims of preventing heart attacks or strokes or any vascular disease outcomes.",https://en.wikipedia.org/wiki/Omega-3_fatty_acid
gelatin,fish,"Gelatin or gelatine (from Latin: gelatus meaning ""stiff"" or ""frozen"") is a translucent, colorless, flavorless food ingredient, derived from collagen taken from animal body parts. Brittle when dry and gummy when moist, it is also called hydrolyzed collagen, collagen hydrolysate, gelatine hydrolysate, hydrolyzed gelatine, and collagen peptides. It is commonly used as a gelling agent in food, medications, drug and vitamin capsules, photographic films and papers, and cosmetics.
Substances containing gelatin or functioning in a similar way are called gelatinous substances. Gelatin is an irreversibly hydrolyzed form of collagen, wherein the hydrolysis reduces protein fibrils into smaller peptides; depending on the physical and chemical methods of denaturation, the molecular weight of the peptides falls within a broad range. Gelatin is in gelatin desserts; most gummy candy and marshmallows; and ice creams, dips, and yogurts. Gelatin for cooking comes as powder, granules, and sheets. Instant types can be added to the food as they are; others must soak in water beforehand.",https://en.wikipedia.org/wiki/Gelatin
greek dishes,fish,This is a list of notable dishes found in Greek cuisine.,https://en.wikipedia.org/wiki/List_of_Greek_dishes
kedgeree,fish,"Kedgeree (or occasionally kitcherie, kitchari, kidgeree, kedgaree, kitchiri, or khichuri) is a dish consisting of cooked, flaked fish (traditionally smoked haddock), boiled rice, parsley, hard-boiled eggs, curry powder, butter or cream, and occasionally sultanas.
The dish can be eaten hot or cold. Other fish can be used instead of haddock such as tuna or salmon, though that is not traditional.
In India, khichari is any of a large variety of legume-and-rice dishes. These dishes are made with a spice mixture designed for each recipe and either dry-toasted or fried in oil before inclusion. This dish moved to Victorian Britain and changed dramatically to the recipe described above.",https://en.wikipedia.org/wiki/Kedgeree
marinara,fish,,
marshmallow,fish,"Marshmallows (UK: , US: ) are a type of confectionery which is typically made from sugar, water and gelatin whipped to a squishy consistency, molded into small cylindrical pieces, and coated with corn starch. Some marshmallow recipes call for eggs. This is the modern version of a medicinal confection made from Althaea officinalis, the marshmallow plant.",https://en.wikipedia.org/wiki/Marshmallow
oyster sauce,fish,"Oyster sauce describes a number of sauces made by cooking oysters. The most common in modern use is a viscous dark brown condiment made from oyster extracts, sugar, salt and water thickened with corn starch. Some versions may be darkened with caramel, though high-quality oyster sauce is naturally dark. It is commonly used in Cantonese, Thai, Malay, Vietnamese and Khmer cuisine.",https://en.wikipedia.org/wiki/Oyster_sauce
pasta sauces,fish,,
pizza sauce,fish,Chicago-style pizza is pizza prepared according to several different styles developed in Chicago. The most famous is deep-dish pizza. The pan in which it is baked gives the pizza its characteristically high edge which provides ample space for large amounts of cheese and a chunky tomato sauce. Chicago-style pizza may be prepared in deep-dish style and as a stuffed pizza.,https://en.wikipedia.org/wiki/Chicago-style_pizza
salad dressings,fish,"A salad is  a dish consisting of a mixture of small pieces of food, usually vegetables or fruit. However, different varieties of salad may contain virtually any type of ready-to-eat food. Salads are typically served at room temperature or chilled, with notable exceptions such as south German potato salad which can be served warm. 
Garden salads use a base of leafy greens such as lettuce, arugula/rocket, kale or spinach; they are common enough that the word salad alone often refers specifically to garden salads. Other types include bean salad, tuna salad, fattoush, Greek salad (vegetable based, but without leafy greens), and sōmen salad (a noodle-based salad). The sauce used to flavor a salad is commonly called a salad dressing; most salad dressings are based on either a mixture of oil and vinegar or a fermented milk product like kefir.
Salads may be served at any point during a meal:

Appetizer salads—light, smaller-portion salads served as the first course of the meal.
Side salads—to accompany the main course as a side dish.
Main course salads—usually containing a portion of a high-protein food, such as meat, fish, eggs, legumes, or cheese.
Dessert salads—sweet versions containing fruit, gelatin, sweeteners or whipped cream.",https://en.wikipedia.org/wiki/Salad
sauces,fish,,
soups and chowders,fish,"Chowder is a type of soup or stew often prepared with milk or cream and thickened with broken crackers, crushed ship biscuit, or a roux. Variations of chowder can be seafood or vegetable. Crackers such as oyster crackers or saltines may accompany chowders as a side item, and cracker pieces may be dropped atop the dish. New England clam chowder is typically made with chopped clams and diced potatoes, in a mixed cream and milk base, often with a small amount of butter. Other common chowders include seafood chowder, which includes fish, clams, and many other types of shellfish; corn chowder, which uses corn instead of clams; a wide variety of fish chowders; and potato chowder, which is often made with cheese. Fish chowder, corn chowder, and clam chowder are especially popular in the North American regions of New England and Atlantic Canada.",https://en.wikipedia.org/wiki/Chowder
sushi,fish,"Sushi (すし, 寿司, 鮨, pronounced [sɯꜜɕi] or [sɯɕiꜜ]) is a Japanese dish of prepared vinegared rice (鮨飯, sushi-meshi), usually with some sugar and salt, accompanying a variety of ingredients (ネタ, neta), such as seafood, vegetables, and occasionally tropical fruits. Styles of sushi and its presentation vary widely, but the one key ingredient is ""sushi rice"", also referred to as shari (しゃり), or sumeshi (酢飯). 
Sushi is traditionally made with medium-grain white rice, though it can be prepared with brown rice or short-grain rice. It is very often prepared with seafood, such as squid, eel, yellowtail, salmon, tuna or imitation crab meat. Many types of sushi are vegetarian. It is often served with pickled ginger (gari), wasabi, and soy sauce. Daikon radish or pickled daikon  (takuan) are popular garnishes for the dish.
Sushi is sometimes confused with sashimi, a related dish in Japanese cuisine that consists of thinly sliced raw fish, or occasionally meat, and an optional serving of rice.",https://en.wikipedia.org/wiki/Sushi
baked products,lupin,,
battered,lupin,,
biscuits,lupin,"A biscuit is a flour-based baked food product. This article covers the type of biscuit found in Africa, Asia, and Europe, which is typically hard, flat, and unleavened. In North America, a biscuit is typically a soft, leavened quick bread, and is covered in the article Biscuit (bread).",https://en.wikipedia.org/wiki/Biscuit
cereals,lupin,"A cereal is any grass cultivated (grown) for the edible components of its grain (botanically, a type of fruit called a caryopsis), composed of the endosperm, germ, and bran. The term may also refer to the resulting grain itself (specifically ""cereal grain""). Cereal grain crops are grown in greater quantities and provide more food energy worldwide than any other type of crop and are therefore staple crops. Edible grains from other plant families, such as buckwheat (Polygonaceae), quinoa (Amaranthaceae) and chia (Lamiaceae), are referred to as pseudocereals.
In their natural, unprocessed, whole grain form, cereals are a rich source of vitamins, minerals, carbohydrates, fats, oils, and protein. When processed by the removal of the bran, and germ, the remaining endosperm is mostly carbohydrate. In some developing countries, grain in the form of rice, wheat, millet, or maize constitutes a majority of daily sustenance. In developed countries, cereal consumption is moderate and varied but still substantial.
The word cereal is derived from Ceres, the Roman goddess of harvest and agriculture.",https://en.wikipedia.org/wiki/Cereal
condiments,lupin,"A condiment is a spice, sauce, or preparation (such as onions) that is added to food, typically after cooking, to impart a specific flavor, to enhance the flavor, or to complement the dish. A table condiment or table sauce is more specifically a condiment that is served separately from the food and is added to taste by the diner.
Condiments are sometimes added prior to serving, for example, in a sandwich made with ketchup, mustard or mayonnaise. Some condiments are used during cooking to add flavor or texture: barbecue sauce, compound butter, teriyaki sauce, soy sauce, and marmite and sour cream are examples.
Many condiments, such as mustard or ketchup, are available in single-serving packets, commonly when supplied with take-out or fast-food meals.",https://en.wikipedia.org/wiki/Condiment
confectionery,lupin,"Confectionery is the art of making confections, which are food items that are rich in sugar and carbohydrates. Exact definitions are difficult. In general, though, confectionery is divided into two broad and somewhat overlapping categories, bakers' confections and sugar confections.Bakers' confectionery, also called flour confections, includes principally sweet pastries, cakes, and similar baked goods.
Sugar confectionery includes candies (sweets in British English), candied nuts, chocolates, chewing gum, bubble gum, pastillage, and other confections that are made primarily of sugar. In some cases, chocolate confections (confections made of chocolate) are treated as a separate category, as are sugar-free versions of sugar confections. The words candy (US and Canada),  sweets (UK and Ireland), and lollies (Australia and New Zealand) are common words for the most common varieties of sugar confectionery.
The confectionery industry also includes specialized training schools and extensive historical records. Traditional confectionery goes back to ancient times and continued to be eaten through the Middle Ages into the modern era.",https://en.wikipedia.org/wiki/Confectionery
convenience foods,lupin,"Convenience  food, or tertiary processed food, is food that is commercially prepared (often through processing) to optimise ease of consumption. Such food is usually ready to eat without further preparation. It may also be easily portable, have a long shelf life, or offer a combination of such convenient traits. Although restaurant meals meet this definition, the term is seldom applied to them. Convenience foods include ready-to-eat dry products, frozen foods such as TV dinners, shelf-stable foods, prepared mixes such as cake mix, and snack foods.
Bread, cheese, salted food and other prepared foods have been sold for thousands of years. Other kinds were developed with improvements in food technology. Types of convenience foods can vary by country and geographic region. Some convenience foods have received criticism due to concerns about nutritional content and how their packaging may increase solid waste in landfills. Various methods are used to reduce the unhealthy aspects of commercially produced food and fight childhood obesity.
Convenience food is commercially prepared for ease of consumption. Products designated as convenience food are often sold as hot, ready-to-eat dishes; as room-temperature, shelf-stable products; or as refrigerated or frozen food products that require minimal preparation (typically just heating) Convenience foods have also been described as foods that have been created to ""make them more appealing to the consumer."" Convenience foods and restaurants are similar in that they save time. They differ in that restaurant food is ready to eat, whilst convenience food usually requires rudimentary preparation. Both typically cost more money and less time compared to home cooking from scratch.",https://en.wikipedia.org/wiki/Convenience_food
